Crash_ID,Crash_Fatal_Fl,Cmv_Involv_Fl,Schl_Bus_Fl,Rr_Relat_Fl,Medical_Advisory_Fl,Amend_Supp_Fl,Active_School_Zone_Fl,Crash_Date,Crash_Time,Case_ID,Local_Use,Rpt_CRIS_Cnty_ID,Rpt_City_ID,Rpt_Outside_City_Limit_Fl,Thousand_Damage_Fl,Rpt_Latitude,Rpt_Longitude,Rpt_Rdwy_Sys_ID,Rpt_Hwy_Num,Rpt_Hwy_Sfx,Rpt_Road_Part_ID,Rpt_Block_Num,Rpt_Street_Pfx,Rpt_Street_Name,Rpt_Street_Sfx,Private_Dr_Fl,Toll_Road_Fl,Crash_Speed_Limit,Road_Constr_Zone_Fl,Road_Constr_Zone_Wrkr_Fl,Rpt_Street_Desc,At_Intrsct_Fl,Rpt_Sec_Rdwy_Sys_ID,Rpt_Sec_Hwy_Num,Rpt_Sec_Hwy_Sfx,Rpt_Sec_Road_Part_ID,Rpt_Sec_Block_Num,Rpt_Sec_Street_Pfx,Rpt_Sec_Street_Name,Rpt_Sec_Street_Sfx,Rpt_Ref_Mark_Offset_Amt,Rpt_Ref_Mark_Dist_Uom,Rpt_Ref_Mark_Dir,Rpt_Ref_Mark_Nbr,Rpt_Sec_Street_Desc,Rpt_CrossingNumber,Wthr_Cond_ID,Light_Cond_ID,Entr_Road_ID,Road_Type_ID,Road_Algn_ID,Surf_Cond_ID,Traffic_Cntl_ID,Investigat_Notify_Time,Investigat_Notify_Meth,Investigat_Arrv_Time,Report_Date,Investigat_Comp_Fl,ORI_Number,Investigat_Agency_ID,Investigat_Area_ID,Investigat_District_ID,Investigat_Region_ID,Bridge_Detail_ID,Harm_Evnt_ID,Intrsct_Relat_ID,FHE_Collsn_ID,Obj_Struck_ID,Othr_Factr_ID,Road_Part_Adj_ID,Road_Cls_ID,Road_Relat_ID,Phys_Featr_1_ID,Phys_Featr_2_ID,Cnty_ID,City_ID,Latitude,Longitude,Hwy_Sys,Hwy_Nbr,Hwy_Sfx,Dfo,Street_Name,Street_Nbr,Control,Section,Milepoint,Ref_Mark_Nbr,Ref_Mark_Displ,Hwy_Sys_2,Hwy_Nbr_2,Hwy_Sfx_2,Street_Name_2,Street_Nbr_2,Control_2,Section_2,Milepoint_2,Txdot_Rptable_Fl,Onsys_Fl,Rural_Fl,Crash_Sev_ID,Pop_Group_ID,Located_Fl,Day_of_Week,Hwy_Dsgn_Lane_ID,Hwy_Dsgn_Hrt_ID,Hp_Shldr_Left,Hp_Shldr_Right,Hp_Median_Width,Base_Type_ID,Nbr_Of_Lane,Row_Width_Usual,Roadbed_Width,Surf_Width,Surf_Type_ID,Curb_Type_Left_ID,Curb_Type_Right_ID,Shldr_Type_Left_ID,Shldr_Width_Left,Shldr_Use_Left_ID,Shldr_Type_Right_ID,Shldr_Width_Right,Shldr_Use_Right_ID,Median_Type_ID,Median_Width,Rural_Urban_Type_ID,Func_Sys_ID,Adt_Curnt_Amt,Adt_Curnt_Year,Adt_Adj_Curnt_Amt,Pct_Single_Trk_Adt,Pct_Combo_Trk_Adt,Trk_Aadt_Pct,Curve_Type_ID,Curve_Lngth,Cd_Degr,Delta_Left_Right_ID,Dd_Degr,Feature_Crossed,Structure_Number,I_R_Min_Vert_Clear,Approach_Width,Bridge_Median_ID,Bridge_Loading_Type_ID,Bridge_Loading_In_1000_Lbs,Bridge_Srvc_Type_On_ID,Bridge_Srvc_Type_Under_ID,Culvert_Type_ID,Roadway_Width,Deck_Width,Bridge_Dir_Of_Traffic_ID,Bridge_Rte_Struct_Func_ID,Bridge_IR_Struct_Func_ID,CrossingNumber,RRCo,Poscrossing_ID,WDCode_ID,Standstop,Yield,Incap_Injry_Cnt,Nonincap_Injry_Cnt,Poss_Injry_Cnt,Non_Injry_Cnt,Unkn_Injry_Cnt,Tot_Injry_Cnt,Death_Cnt,MPO_ID,Investigat_Service_ID,Investigat_DA_ID,Investigator_Narrative
13072531,N,N,N,N,N,N,N,1/9/2013,6:46 AM,13-551,,212,434,N,Y,,,11,323,,1,700,,NOT REPORTED,,N,N,55,N,N,N NE,Y,19,,,1,2600,E,COMMERCE,ST,,,,,,,2,3,4,2,1,2,5,6:46 AM,DISPATCH,6:48 AM,1/9/2013,Y,TX2120400,2316,,,170,8,2,1,23,64,8,1,2,1,21,21,212,434,32.35621419,-95.26809338,SL,323,,2.773,SL0323,501,1790,2,2.774,676,0.791,,,,COMMERCE ST,,,,,Y,Y,N,5,8,Y,WED,3,0,0,10,12,2,6,114,100,76,4,2,2,1,10,0,2,10,5,1,2,3,14,19551,2014,19551,3,17.3,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,0,0,0,213,,,
13072686,N,N,N,N,N,N,N,1/5/2013,4:40 AM,0001723113G,,101,208,N,Y,,,1,45,,1,3000,N,NORTH,FWY,N,N,60,N,N,WET CONCRETE,N,19,,,,,,CALVACADE,ST,,,,,,,2,4,0,2,3,2,20,4:55 AM,HPD RADIO DISPATCH,4:58 AM,1/5/2013,Y,TXHPD0000,2469,24,121,33,8,2,4,20,64,54,1,1,1,21,21,101,208,29.80616602,-95.37292496,IH,45,,51.11,IH0045,,500,3,27.326,51,0.229,,,,,,,,,Y,Y,N,5,9,Y,SAT,5,1,0,10,26,3,8,350,124,98,6,0,0,1,0,0,2,20,5,2,26,4,11,197501,2014,197501,5.5,4.6,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,6,0,0,0,15,,,
13072687,N,N,N,N,N,N,N,1/8/2013,9:00 AM,130000655,,220,177,N,Y,,,19,,,7,2316,,AVENUE H EAST,RD,Y,N,10,N,N,,N,19,,,,1500,,DUNCAN PERRY,RD,,,,,,,11,4,98,,1,1,1,9:43 AM,DISPATCH,9:51 AM,1/8/2013,N,TX0571200,1372,,,33,8,4,4,4,64,54,7,9,5,33,21,220,177,,,,,,,AVENUE H EAST RD,,,,,,,,,,,,,,,N,N,N,0,8,N,TUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,,,,
13072771,N,N,N,N,N,N,N,1/12/2013,3:04 AM,9203A,,57,107,N,Y,,,1,635,,1,3600,,LYNDON B JOHNSON,FWY,N,N,60,Y,N,,N,19,,,,12300,,MARSH,LN,,,,,,,11,4,0,2,1,1,20,3:11 AM,DISPATCHED,3:18 AM,1/12/2013,N,TX0000006,2471,,,71,8,2,4,20,64,49,1,1,1,21,21,57,107,32.91668148,-96.85931307,IH,635,,25.468,IH0635,,2374,1,12.035,25,-0.068,,,,,,,,,Y,Y,N,2,9,Y,SAT,5,1,2,10,12,2,8,800,140,88,5,0,0,2,4,5,2,20,5,2,8,4,11,195906,2014,195906,5.2,8.7,14,1,167,1,2,8,,,,,,,,,,,,,,,,,,,,,,0,3,1,0,0,4,0,282,,,
13072816,N,N,N,N,N,N,N,1/11/2013,8:20 AM,SAPD13007634,5280,15,379,N,Y,,,19,,,1,1500,NW,36TH,ST,N,N,40,N,N,,Y,19,,,1,3400,,CULEBRA,RD,,,,,,,11,1,4,,1,1,5,8:30 AM,SITE,8:31 AM,1/11/2013,Y,TXSPD0000,2473,,19,148,8,2,1,22,64,47,1,5,1,21,21,15,379,29.44947497,-98.57006229,,,,,NW 36TH ST,1398,,,,,,,,,CULEBRA RD,,,,,Y,N,N,5,9,Y,FRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,28,,,
13072876,N,Y,N,N,N,N,N,1/11/2013,1:15 PM,SAPD13007845,7160,15,379,N,Y,,,1,410,,1,4100,NW,LOOP 410,,N,N,65,N,N,,N,,,,,,,NOT REPORTED,,0.25,M,SW,16,,,12,1,0,2,1,1,20,1:25 PM,DISPATCHED,1:40 PM,1/11/2013,Y,TXSPD0000,2473,,7,147,8,2,4,20,64,54,1,1,1,21,21,15,379,29.49213096,-98.55748755,IH,410,,15.814,IH0410,,521,4,15.917,16,-0.25,,,,NOT REPORTED,,,,,Y,Y,N,5,9,Y,FRI,5,0,8,10,19,2,10,300,166,132,4,0,0,2,16,5,2,18,5,2,3,4,11,154098,2014,154098,2.9,1.9,4.7,1,648,0,2,25,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,28,,,
13073198,N,N,N,N,N,N,N,1/12/2013,5:40 PM,SAPD13008820,2360,15,379,N,Y,,,19,,,1,,,IH 35S EXIT RAMP,,N,N,35,N,N,,Y,19,,,1,500,S,FRIO,ST,,,,,,,12,4,2,,1,1,8,5:43 PM,DISPATCH,6:07 PM,1/12/2013,Y,TXSPD0000,2473,,3,122,8,2,2,21,64,9,4,5,1,21,21,15,379,29.41469497,-98.50506231,,,,,PECOS LA TRINIDAD,,,,,,,,,,S FRIO ST,,,,,Y,N,N,5,9,Y,SAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,28,,,
13073238,N,N,N,N,N,N,N,1/10/2013,6:10 PM,0003879413P,,101,208,N,Y,,,19,,,1,200,N,DAIRY ASHFORD,ST,N,N,45,N,N,,N,95,,,,1100,N,ELDRIDGE,PKWY,,,,,,,11,4,0,,1,1,3,6:15 PM,HPD DISPATCHER,6:45 PM,1/10/2013,Y,TXHPD0000,2469,18,106,44,8,2,2,22,64,38,1,5,1,21,21,101,208,29.78635616,-95.61494811,,,,,N DAIRY ASHFORD ST,,,,,,,,,,N ELDRIDGE PKWY,,,,,Y,N,N,3,9,Y,THU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,3,0,1,0,15,,,
13073266,N,Y,N,N,N,N,N,1/11/2013,4:13 PM,8692A,,57,107,N,Y,,,1,635,,3,7900,,LYNDON B JOHNSON,FWY,N,N,60,N,N,,N,19,,,,12800,N,CENTRAL,EXPY,,,,,,,11,1,0,2,1,1,20,4:20 PM,DROVE UP ON,4:20 PM,1/11/2013,Y,tx0000006,2471,,,71,8,2,4,21,64,9,3,1,1,21,21,57,107,32.92425,-96.76824835,IH,635,,20.035,IH0635,,2374,1,6.495,19,0.388,,,,,,,,,Y,Y,N,5,9,Y,FRI,5,1,2,10,12,2,8,320,140,88,5,0,0,2,4,5,2,20,5,2,8,4,11,212061,2014,212061,5.2,8.7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,282,,,
13074306,N,N,N,N,N,N,N,1/5/2013,12:18 AM,,13-001826,57,416,N,Y,,,19,,,1,300,,NEW HOPE,RD,N,N,25,N,N,,N,19,,,1,,,HIDDEN LAKE,DR,,,,,,,2,4,0,,4,2,1,12:20 AM,RADIO DISPATCHED,12:23 AM,1/5/2013,Y,TX0570000,1169,,,,8,7,4,1,21,54,1,5,2,21,21,57,416,32.81145716,-96.58699868,,,,,NEW HOPE RD,353,,,,,,,,,,,,,,Y,N,N,2,4,Y,SAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,282,,,
